"cov";"id";"i";"o";"p";"it";"itop";"HS"
0.5;0.01;10;10;20;840;0.5;0.03
0.5;10;3;10;5;841;0.5;9.16
0;5;5;10;10;841;0.5;12.38
0.25;1;10;10;20;841;0.5;5.5
1;0.01;3;10;5;842;0.5;1.73472347597681e-18
0;0.01;5;10;10;842;0.5;-0.12
0.75;10;10;10;20;842;0.5;27.28
0.5;0.01;3;10;5;843;0.5;0.18
0.5;2.5;5;10;10;843;0.5;5.59
1;2.5;10;10;20;843;0.5;3.1
0.25;10;3;10;5;844;0.5;9.48
0.5;5;5;10;10;844;0.5;8.46
0.5;0.01;10;10;20;844;0.5;0.09
0.5;10;3;10;5;845;0.5;7.51
0.75;1;5;10;10;845;0.5;2.05
0;1;10;10;20;845;0.5;5.17
0.5;5;3;10;5;846;0.5;5.72
1;1;5;10;10;846;0.5;1.32
0.25;5;10;10;20;846;0.5;23.27
1;2.5;3;10;5;847;0.5;2.55
0.75;0.01;5;10;10;847;0.5;0.06
0.75;10;10;10;20;847;0.5;32.02
0.5;10;3;10;5;848;0.5;9.52
0;2.5;5;10;10;848;0.5;7.58
1;1;10;10;20;848;0.5;2.03
0.5;5;3;10;5;849;0.5;6.58
1;2.5;5;10;10;849;0.5;2.81
0.25;10;10;10;20;849;0.5;32.79
0.75;5;3;10;5;850;0.5;6.52
1;0.01;5;10;10;850;0.5;-0.1
0;1;10;10;20;850;0.5;5.67
0.5;0.01;3;10;5;851;0.5;-0.12
0.5;2.5;5;10;10;851;0.5;6.84
0.5;1;10;10;20;851;0.5;4.77
0;5;3;10;5;852;0.5;6.59
1;0.01;5;10;10;852;0.5;0.16
1;0.01;10;10;20;852;0.5;0.02
0.75;2.5;3;10;5;853;0.5;4.23
1;5;5;10;10;853;0.5;3.96
0.75;1;10;10;20;853;0.5;3.93
0;0.01;3;10;5;854;0.5;-0.28
0;0.01;5;10;10;854;0.5;0.17
0.25;2.5;10;10;20;854;0.5;14.53
0.25;1;3;10;5;855;0.5;2.16
0;10;5;10;10;855;0.5;16.89
0;5;10;10;20;855;0.5;25.16
0.75;5;3;10;5;856;0.5;7.05
0.75;2.5;5;10;10;856;0.5;6.08
0.5;5;10;10;20;856;0.5;24.32
0.75;0.01;3;10;5;857;0.5;-0.11
0.5;10;5;10;10;857;0.5;14.78
0;0.01;10;10;20;857;0.5;0.26
0;10;3;10;5;858;0.5;9.8
0.25;0.01;5;10;10;858;0.5;0.19
1;2.5;10;10;20;858;0.5;3.17
0.5;1;3;10;5;859;0.5;1.37
1;2.5;5;10;10;859;0.5;2.83
0;0.01;10;10;20;859;0.5;0.15
0.5;5;3;10;5;860;0.5;5.81
0.5;5;5;10;10;860;0.5;10.74
0.5;5;10;10;20;860;0.5;21.29
0.75;5;3;10;5;861;0.5;5.33
0.75;2.5;5;10;10;861;0.5;5.63
1;0.01;10;10;20;861;0.5;-0.1
0.75;10;3;10;5;862;0.5;10.73
0.5;2.5;5;10;10;862;0.5;6.66
0;0.01;10;10;20;862;0.5;-0.1
0;2.5;3;10;5;863;0.5;3.34
0.25;10;5;10;10;863;0.5;17.03
1;0.01;10;10;20;863;0.5;-0.37
0.5;5;3;10;5;864;0.5;6.98
0.5;10;5;10;10;864;0.5;14.71
1;10;10;10;20;864;0.5;5.28
0;1;3;10;5;865;0.5;1.5
1;0.01;5;10;10;865;0.5;-0.01
1;5;10;10;20;865;0.5;4.5
0.25;2.5;3;10;5;866;0.5;3.06
0.5;10;5;10;10;866;0.5;16.3
0.5;1;10;10;20;866;0.5;5.75
1;1;3;10;5;867;0.5;1.49
0.25;5;5;10;10;867;0.5;13.33
0.25;1;10;10;20;867;0.5;4.74
1;2.5;3;10;5;868;0.5;2.4
1;2.5;5;10;10;868;0.5;2.73
1;5;10;10;20;868;0.5;4.34
0.75;1;3;10;5;869;0.5;1.57
0.75;0.01;5;10;10;869;0.5;0.11
0.5;2.5;10;10;20;869;0.5;11.13
1;2.5;3;10;5;870;0.5;2.38
0.5;0.01;5;10;10;870;0.5;-6.93889390390723e-18
0;1;10;10;20;870;0.5;6.33
0.5;0.01;3;10;5;871;0.5;-0.15
0.25;10;5;10;10;871;0.5;17.04
0;1;10;10;20;871;0.5;5.51
1;1;3;10;5;872;0.5;1.17
0;10;5;10;10;872;0.5;17.06
0.75;0.01;10;10;20;872;0.5;-0.04
0.5;5;3;10;5;873;0.5;6.4
1;1;5;10;10;873;0.5;1.69
0.5;1;10;10;20;873;0.5;4.2
0.5;10;3;10;5;874;0.5;11.43
1;0.01;5;10;10;874;0.5;0.05
0.75;0.01;10;10;20;874;0.5;-0.3
0;2.5;3;10;5;875;0.5;4.22
0;1;5;10;10;875;0.5;2.92
0.5;2.5;10;10;20;875;0.5;14.69
0.75;2.5;3;10;5;876;0.5;2.85
1;5;5;10;10;876;0.5;4.14
1;1;10;10;20;876;0.5;2.07
0.75;10;3;10;5;877;0.5;6.75
0;0.01;5;10;10;877;0.5;-0.02
0;2.5;10;10;20;877;0.5;15.94
0;0.01;3;10;5;878;0.5;-0.07
0;1;5;10;10;878;0.5;3.08
1;0.01;10;10;20;878;0.5;-0.09
1;10;3;10;5;879;0.5;4.68
0.25;0.01;5;10;10;879;0.5;0.23
1;0.01;10;10;20;879;0.5;0.09
0.5;5;3;10;5;880;0.5;6.76
0.5;2.5;5;10;10;880;0.5;5.89
1;5;10;10;20;880;0.5;4.29
0.25;2.5;3;10;5;881;0.5;3.8
0;2.5;5;10;10;881;0.5;7.6
1;2.5;10;10;20;881;0.5;3.33
1;1;3;10;5;882;0.5;1.48
0.75;0.01;5;10;10;882;0.5;-0.03
0.5;0.01;10;10;20;882;0.5;0.12
0.5;0.01;3;10;5;883;0.5;-0.09
0.75;5;5;10;10;883;0.5;10.51
0.5;1;10;10;20;883;0.5;3.25
0;5;3;10;5;884;0.5;6.81
1;10;5;10;10;884;0.5;5.06
0;2.5;10;10;20;884;0.5;16.19
0.25;1;3;10;5;885;0.5;1.64
1;5;5;10;10;885;0.5;3.81
0.25;5;10;10;20;885;0.5;23.09
1;0.01;3;10;5;886;0.5;0.04
1;5;5;10;10;886;0.5;3.84
0.25;5;10;10;20;886;0.5;22.49
0.5;0.01;3;10;5;887;0.5;-0.13
0.25;5;5;10;10;887;0.5;11.52
0.25;2.5;10;10;20;887;0.5;15.5
0.25;1;3;10;5;888;0.5;1.91
0;2.5;5;10;10;888;0.5;7.65
0.25;5;10;10;20;888;0.5;24.03
0;10;3;10;5;889;0.5;9.56
0;5;5;10;10;889;0.5;11.78
0;2.5;10;10;20;889;0.5;15.63
1;1;3;10;5;890;0.5;1.33
0;1;5;10;10;890;0.5;2.77
0;0.01;10;10;20;890;0.5;0.21
0.75;0.01;3;10;5;891;0.5;-0.06
1;1;5;10;10;891;0.5;1.85
1;0.01;10;10;20;891;0.5;-0.01
0.25;0.01;3;10;5;892;0.5;-0.01
0.25;2.5;5;10;10;892;0.5;8.31
0;1;10;10;20;892;0.5;5.94
0;2.5;3;10;5;893;0.5;3.96
0.75;1;5;10;10;893;0.5;2.32
1;0.01;10;10;20;893;0.5;-0.09
0.25;10;3;10;5;894;0.5;10.27
0.25;10;5;10;10;894;0.5;16.26
1;2.5;10;10;20;894;0.5;3.45
0;2.5;3;10;5;895;0.5;3.96
0.75;1;5;10;10;895;0.5;3.17
0.5;2.5;10;10;20;895;0.5;14.14
0.75;10;3;10;5;896;0.5;8.44
0.75;2.5;5;10;10;896;0.5;8.51
0.5;1;10;10;20;896;0.5;5.02
1;10;3;10;5;897;0.5;4.36
0;0.01;5;10;10;897;0.5;0.38
0;10;10;10;20;897;0.5;35.57
0.25;1;3;10;5;898;0.5;1.28
0;5;5;10;10;898;0.5;11.64
0.25;5;10;10;20;898;0.5;23.28
0.75;5;3;10;5;899;0.5;5.33
1;10;5;10;10;899;0.5;4.68
0.25;1;10;10;20;899;0.5;5.08
0.5;5;3;10;5;900;0.5;7.49
0.25;10;5;10;10;900;0.5;18.29
1;0.01;10;10;20;900;0.5;0.2
0;2.5;3;10;5;901;0.5;4.26
0.5;2.5;5;10;10;901;0.5;7.76
1;10;10;10;20;901;0.5;5.25
0.5;2.5;3;10;5;902;0.5;4.09
0.25;2.5;5;10;10;902;0.5;5.86
0;2.5;10;10;20;902;0.5;15.41
0.25;5;3;10;5;903;0.5;7.43
0.75;2.5;5;10;10;903;0.5;6.73
0.25;5;10;10;20;903;0.5;23.64
0;5;3;10;5;904;0.5;6.79
0.5;10;5;10;10;904;0.5;16.36
0.5;2.5;10;10;20;904;0.5;13.4
0.25;0.01;3;10;5;905;0.5;0.15
0;10;5;10;10;905;0.5;16.21
0;5;10;10;20;905;0.5;24.99
1;1;3;10;5;906;0.5;1.48
1;0.01;5;10;10;906;0.5;-0.28
0.75;1;10;10;20;906;0.5;5.26
0;0.01;3;10;5;907;0.5;-6.93889390390723e-18
1;2.5;5;10;10;907;0.5;3.37
0.25;2.5;10;10;20;907;0.5;15.16
0.25;0.01;3;10;5;908;0.5;-0.21
0;10;5;10;10;908;0.5;18.41
1;10;10;10;20;908;0.5;5.34
0.25;10;3;10;5;909;0.5;10.81
0.75;1;5;10;10;909;0.5;2.09
1;1;10;10;20;909;0.5;2.1
1;10;3;10;5;910;0.5;4.58
0.5;1;5;10;10;910;0.5;3.03
0.25;0.01;10;10;20;910;0.5;0.24
0.25;0.01;3;10;5;911;0.5;0.08
0.75;5;5;10;10;911;0.5;7.85
0.75;2.5;10;10;20;911;0.5;10.94
0;5;3;10;5;912;0.5;5.05
0.75;2.5;5;10;10;912;0.5;5.31
0.75;5;10;10;20;912;0.5;16.99
0.75;2.5;3;10;5;913;0.5;3.96
0.5;0.01;5;10;10;913;0.5;-0.07
0;0.01;10;10;20;913;0.5;0.27
0.5;1;3;10;5;914;0.5;1.29
0.5;1;5;10;10;914;0.5;3.78
0;1;10;10;20;914;0.5;5.51
0.5;0.01;3;10;5;915;0.5;0.26
1;1;5;10;10;915;0.5;1.45
0;0.01;10;10;20;915;0.5;-0.05
0.25;0.01;3;10;5;916;0.5;-0.25
0.5;1;5;10;10;916;0.5;3.44
0.75;2.5;10;10;20;916;0.5;11.11
0.5;2.5;3;10;5;917;0.5;3.08
0;0.01;5;10;10;917;0.5;0.17
0.25;1;10;10;20;917;0.5;5.7
0.75;10;3;10;5;918;0.5;7.69
0.75;0.01;5;10;10;918;0.5;0.25
0;5;10;10;20;918;0.5;26.12
0.75;0.01;3;10;5;919;0.5;0.03
0.75;10;5;10;10;919;0.5;15.19
1;1;10;10;20;919;0.5;1.62
0;5;3;10;5;920;0.5;6.74
0.75;10;5;10;10;920;0.5;16.46
0.75;5;10;10;20;920;0.5;17.05
0.5;0.01;3;10;5;921;0.5;-0.22
0;10;5;10;10;921;0.5;16.31
1;10;10;10;20;921;0.5;5.21
0.5;10;3;10;5;922;0.5;9.39
0.25;0.01;5;10;10;922;0.5;-0.21
0;10;10;10;20;922;0.5;35.15
0.25;10;3;10;5;923;0.5;8.12
0;5;5;10;10;923;0.5;12.66
0.75;2.5;10;10;20;923;0.5;9.25
0.75;0.01;3;10;5;924;0.5;0.09
0;5;5;10;10;924;0.5;11.49
0.25;1;10;10;20;924;0.5;5.47
1;1;3;10;5;925;0.5;1.11
0;0.01;5;10;10;925;0.5;-0.15
0.75;5;10;10;20;925;0.5;17.26
0.75;5;3;10;5;926;0.5;4.45
0;5;5;10;10;926;0.5;12.72
0;2.5;10;10;20;926;0.5;14.96
1;1;3;10;5;927;0.5;0.73
0.75;2.5;5;10;10;927;0.5;5.3
0.25;10;10;10;20;927;0.5;33.56
0.25;0.01;3;10;5;928;0.5;-0.09
0.25;10;5;10;10;928;0.5;17.83
0;2.5;10;10;20;928;0.5;15.73
0.75;10;3;10;5;929;0.5;8.26
0.5;2.5;5;10;10;929;0.5;7.66
0;1;10;10;20;929;0.5;6.11
0.5;1;3;10;5;930;0.5;1.35
0.25;10;5;10;10;930;0.5;15.22
0.25;2.5;10;10;20;930;0.5;14.31
1;1;3;10;5;931;0.5;1.45
1;0.01;5;10;10;931;0.5;-0.04
0.25;2.5;10;10;20;931;0.5;16.2
1;5;3;10;5;932;0.5;3.64
0.75;5;5;10;10;932;0.5;10.55
1;0.01;10;10;20;932;0.5;-0.03
0.25;10;3;10;5;933;0.5;9.34
0;5;5;10;10;933;0.5;12.16
1;10;10;10;20;933;0.5;5.11
1;5;3;10;5;934;0.5;3.2
0.25;2.5;5;10;10;934;0.5;7.45
0.5;2.5;10;10;20;934;0.5;12.1
0;10;3;10;5;935;0.5;7.44
0;10;5;10;10;935;0.5;17.74
0;5;10;10;20;935;0.5;24.51
1;2.5;3;10;5;936;0.5;2.29
0;2.5;5;10;10;936;0.5;7.32
0.25;10;10;10;20;936;0.5;33.85
0.5;5;3;10;5;937;0.5;7.39
0.25;0.01;5;10;10;937;0.5;-0.09
0.5;1;10;10;20;937;0.5;5.55
1;0.01;3;10;5;938;0.5;-0.28
1;1;5;10;10;938;0.5;1.56
1;5;10;10;20;938;0.5;4.63
0.5;5;3;10;5;939;0.5;6.74
1;5;5;10;10;939;0.5;3.82
0;0.01;10;10;20;939;0.5;-0.06
0;0.01;3;10;5;940;0.5;0.12
1;0.01;5;10;10;940;0.5;0.24
0;10;10;10;20;940;0.5;34.2
0.5;1;3;10;5;941;0.5;1.31
0.25;2.5;5;10;10;941;0.5;8.44
0.75;10;10;10;20;941;0.5;27.9
0.25;5;3;10;5;942;0.5;6.63
0.25;5;5;10;10;942;0.5;12.86
0;2.5;10;10;20;942;0.5;15.16
0;10;3;10;5;943;0.5;10.56
0.25;2.5;5;10;10;943;0.5;6.71
1;5;10;10;20;943;0.5;4.24
1;2.5;3;10;5;944;0.5;2.35
0.75;5;5;10;10;944;0.5;8.41
0.25;5;10;10;20;944;0.5;23.41
0.25;0.01;3;10;5;945;0.5;-0.05
0.5;10;5;10;10;945;0.5;16.63
0.75;2.5;10;10;20;945;0.5;12.25
0.25;5;3;10;5;946;0.5;7.53
0.75;5;5;10;10;946;0.5;8.37
0.5;0.01;10;10;20;946;0.5;-0.01
0.75;10;3;10;5;947;0.5;9.93
0;2.5;5;10;10;947;0.5;7.43
0.25;5;10;10;20;947;0.5;23.27
0.5;2.5;3;10;5;948;0.5;3.15
1;10;5;10;10;948;0.5;4.79
1;0.01;10;10;20;948;0.5;-0.12
0.75;10;3;10;5;949;0.5;9.08
0;5;5;10;10;949;0.5;12.14
0.5;1;10;10;20;949;0.5;5.39
1;1;3;10;5;950;0.5;0.93
0.25;10;5;10;10;950;0.5;14.1
0.25;1;10;10;20;950;0.5;5.64
0;2.5;3;10;5;951;0.5;3.82
0.25;0.01;5;10;10;951;0.5;0.2
0.25;10;10;10;20;951;0.5;33.51
1;10;3;10;5;952;0.5;4.18
1;2.5;5;10;10;952;0.5;2.8
0.75;0.01;10;10;20;952;0.5;0.2
1;1;3;10;5;953;0.5;1.2
1;0.01;5;10;10;953;0.5;-0.02
0.75;2.5;10;10;20;953;0.5;13.73
0.5;10;3;10;5;954;0.5;7.61
0.25;1;5;10;10;954;0.5;2.74
1;2.5;10;10;20;954;0.5;3.34
1;1;3;10;5;955;0.5;1.39
1;0.01;5;10;10;955;0.5;-0.28
0.25;5;10;10;20;955;0.5;24.69
0.25;2.5;3;10;5;956;0.5;4.95
1;0.01;5;10;10;956;0.5;-0.16
0.25;1;10;10;20;956;0.5;5.73
0;10;3;10;5;957;0.5;8.97
1;2.5;5;10;10;957;0.5;2.73
0;10;10;10;20;957;0.5;34.33
0.75;1;3;10;5;958;0.5;2.3
1;5;5;10;10;958;0.5;3.61
0.75;1;10;10;20;958;0.5;3.29
0.5;10;3;10;5;959;0.5;10.18
0.75;5;5;10;10;959;0.5;7.13
0.75;5;10;10;20;959;0.5;19.53
1;2.5;3;10;5;960;0.5;2.33
0;10;5;10;10;960;0.5;16.01
0;5;10;10;20;960;0.5;25.23
0.25;2.5;3;10;5;961;0.5;3.9
0.75;5;5;10;10;961;0.5;9.84
0.5;1;10;10;20;961;0.5;4.26
0.75;10;3;10;5;962;0.5;7.69
0.25;0.01;5;10;10;962;0.5;0.04
0.75;2.5;10;10;20;962;0.5;11.46
0;2.5;3;10;5;963;0.5;4.11
0.5;2.5;5;10;10;963;0.5;7.64
1;2.5;10;10;20;963;0.5;3.28
0.5;1;3;10;5;964;0.5;1.22
0.25;10;5;10;10;964;0.5;17.11
1;1;10;10;20;964;0.5;2.19
0;0.01;3;10;5;965;0.5;0.17
0;5;5;10;10;965;0.5;11.61
0;2.5;10;10;20;965;0.5;14.8
0.5;0.01;3;10;5;966;0.5;-0.23
1;2.5;5;10;10;966;0.5;2.91
0.5;1;10;10;20;966;0.5;5.65
1;2.5;3;10;5;967;0.5;2.48
1;10;5;10;10;967;0.5;4.69
0.75;10;10;10;20;967;0.5;27.49
0.75;5;3;10;5;968;0.5;4.83
0;5;5;10;10;968;0.5;13.83
0;10;10;10;20;968;0.5;34.58
0.5;0.01;3;10;5;969;0.5;0.28
0.75;0.01;5;10;10;969;0.5;-0.02
1;0.01;10;10;20;969;0.5;-0.03
0.5;0.01;3;10;5;970;0.5;-0.08
0.25;10;5;10;10;970;0.5;16.7
0;10;10;10;20;970;0.5;34.73
0.75;1;3;10;5;971;0.5;1.51
0.5;1;5;10;10;971;0.5;2.96
0.5;5;10;10;20;971;0.5;21.01
0.5;5;3;10;5;972;0.5;6.44
0.5;0.01;5;10;10;972;0.5;0.06
0;1;10;10;20;972;0.5;6.29
1;1;3;10;5;973;0.5;1.33
1;5;5;10;10;973;0.5;4.01
0.5;2.5;10;10;20;973;0.5;13.1
0.75;1;3;10;5;974;0.5;1.19
1;5;5;10;10;974;0.5;3.68
1;10;10;10;20;974;0.5;5.34
0.25;5;3;10;5;975;0.5;6.71
0.5;0.01;5;10;10;975;0.5;0.15
0.75;5;10;10;20;975;0.5;19.64
0.25;0.01;3;10;5;976;0.5;-0.03
0.25;2.5;5;10;10;976;0.5;6.95
0.25;5;10;10;20;976;0.5;23.64
0.25;5;3;10;5;977;0.5;6.32
1;5;5;10;10;977;0.5;3.62
0.75;1;10;10;20;977;0.5;4.63
0.75;0.01;3;10;5;978;0.5;0.26
0.75;10;5;10;10;978;0.5;16.19
0.25;2.5;10;10;20;978;0.5;14.78
0.5;2.5;3;10;5;979;0.5;5.18
0.25;1;5;10;10;979;0.5;2.8
0.5;10;10;10;20;979;0.5;32.37
0.75;5;3;10;5;980;0.5;6.32
0.75;1;5;10;10;980;0.5;2.5
0;2.5;10;10;20;980;0.5;15.51
0.75;5;3;10;5;981;0.5;6.06
0.25;5;5;10;10;981;0.5;10.42
0;10;10;10;20;981;0.5;35.02
0.75;1;3;10;5;982;0.5;1.28
1;1;5;10;10;982;0.5;1.91
0.5;1;10;10;20;982;0.5;5.21
0.75;0.01;3;10;5;983;0.5;0.07
0.75;5;5;10;10;983;0.5;9.38
1;5;10;10;20;983;0.5;4.21
0.25;10;3;10;5;984;0.5;8.33
0;0.01;5;10;10;984;0.5;-0.08
0.5;5;10;10;20;984;0.5;21.16
0.25;2.5;3;10;5;985;0.5;3.74
0.25;5;5;10;10;985;0.5;12.13
0.75;1;10;10;20;985;0.5;3.87
0.25;10;3;10;5;986;0.5;8.72
0.25;5;5;10;10;986;0.5;13.12
0.25;5;10;10;20;986;0.5;25.1
0;1;3;10;5;987;0.5;1.21
0.5;10;5;10;10;987;0.5;16.63
0.75;0.01;10;10;20;987;0.5;-0.19
0;10;3;10;5;988;0.5;9.68
0.25;1;5;10;10;988;0.5;2.5
0.75;5;10;10;20;988;0.5;19.27
0.5;2.5;3;10;5;989;0.5;3.89
1;2.5;5;10;10;989;0.5;3.01
0.25;5;10;10;20;989;0.5;25.83
0.25;2.5;3;10;5;990;0.5;4
0.25;5;5;10;10;990;0.5;10.85
0.5;5;10;10;20;990;0.5;19.85
1;0.01;3;10;5;991;0.5;0.05
1;2.5;5;10;10;991;0.5;2.81
0.25;0.01;10;10;20;991;0.5;0.15
0.5;10;3;10;5;992;0.5;9.6
0.75;5;5;10;10;992;0.5;6.65
0.75;2.5;10;10;20;992;0.5;8.79
0.5;10;3;10;5;993;0.5;9.21
1;5;5;10;10;993;0.5;3.76
0.25;0.01;10;10;20;993;0.5;0.17
0.5;0.01;3;10;5;994;0.5;-0.05
0;5;5;10;10;994;0.5;12
0.75;5;10;10;20;994;0.5;17.71
0.75;0.01;3;10;5;995;0.5;0.05
0.5;1;5;10;10;995;0.5;3.06
0.75;0.01;10;10;20;995;0.5;0.18
0.5;1;3;10;5;996;0.5;1.74
0.5;5;5;10;10;996;0.5;12.27
0.5;10;10;10;20;996;0.5;32.11
1;2.5;3;10;5;997;0.5;2.7
0.25;1;5;10;10;997;0.5;2.62
0.5;0.01;10;10;20;997;0.5;-0.21
1;10;3;10;5;998;0.5;4.07
0.5;1;5;10;10;998;0.5;2.73
0.25;1;10;10;20;998;0.5;5.91
0.75;0.01;3;10;5;999;0.5;-0.04
0.25;5;5;10;10;999;0.5;12.13
0.25;1;10;10;20;999;0.5;4.92
0.25;0.01;3;10;5;1000;0.5;-0.03
1;2.5;5;10;10;1000;0.5;2.67
0.5;10;10;10;20;1000;0.5;29.68
0.25;0.01;5;10;5;1;1;0.09
0.25;10;10;10;10;1;1;26.09
1;10;20;10;20;1;1;5.46
1;0.01;5;10;5;2;1;1.73472347597681e-18
0;10;10;10;10;2;1;27.13
0.75;1;20;10;20;2;1;4.23
0.75;5;5;10;5;3;1;6.01
0.25;0.01;10;10;10;3;1;0.21
0.75;2.5;20;10;20;3;1;12.87
0.75;10;5;10;5;4;1;10
0;5;10;10;10;4;1;19.12
0.75;10;20;10;20;4;1;39.46
1;2.5;5;10;5;5;1;2.55
0.75;10;10;10;10;5;1;20.71
0.25;5;20;10;20;5;1;34.57
0.25;0.01;5;10;5;6;1;-0.11
0;10;10;10;10;6;1;27.98
0.25;10;20;10;20;6;1;49.1
0.25;2.5;5;10;5;7;1;4.4
0.25;0.01;10;10;10;7;1;0.02
0.75;0.01;20;10;20;7;1;-0.1
0.25;0.01;5;10;5;8;1;0.08
0.5;0.01;10;10;10;8;1;0.04
0.75;5;20;10;20;8;1;20.88
0.75;2.5;5;10;5;9;1;3.37
1;10;10;10;10;9;1;5.05
0.5;5;20;10;20;9;1;30.77
0.5;5;5;10;5;10;1;8.13
0.25;0.01;10;10;10;10;1;1.73472347597681e-18
0.25;10;20;10;20;10;1;52.38
0.5;0.01;5;10;5;11;1;-0.03
0.5;2.5;10;10;10;11;1;8.51
0.25;0.01;20;10;20;11;1;-0.06
0.25;10;5;10;5;12;1;12.86
0.5;1;10;10;10;12;1;3.53
1;5;20;10;20;12;1;4.61
0;5;5;10;5;13;1;9.77
0.25;0.01;10;10;10;13;1;-0.15
0.75;1;20;10;20;13;1;4.25
1;1;5;10;5;14;1;1.42
0.5;10;10;10;10;14;1;24.85
0;1;20;10;20;14;1;7.74
0.25;2.5;5;10;5;15;1;5.23
0.5;5;10;10;10;15;1;15.86
1;10;20;10;20;15;1;5.29
0.25;5;5;10;5;16;1;9.95
0.5;10;10;10;10;16;1;24.46
0.75;0.01;20;10;20;16;1;0.08
1;1;5;10;5;17;1;1.3
1;10;10;10;10;17;1;4.84
0.5;2.5;20;10;20;17;1;20.46
1;0.01;5;10;5;18;1;0.01
0.25;5;10;10;10;18;1;18.14
0.75;2.5;20;10;20;18;1;14.64
0.75;10;5;10;5;19;1;11.93
0.75;2.5;10;10;10;19;1;7.53
1;1;20;10;20;19;1;2.17
0.25;5;5;10;5;20;1;7.64
0.75;1;10;10;10;20;1;2.6
0.75;10;20;10;20;20;1;39.95
0.5;5;5;10;5;21;1;8.93
0.5;1;10;10;10;21;1;3.49
1;10;20;10;20;21;1;5.39
0.75;5;5;10;5;22;1;6.24
0.25;10;10;10;10;22;1;27.19
0.75;5;20;10;20;22;1;27.08
1;5;5;10;5;23;1;3.49
0.75;2.5;10;10;10;23;1;7.3
1;5;20;10;20;23;1;4.23
1;1;5;10;5;24;1;1.37
0.5;0.01;10;10;10;24;1;0
0.5;10;20;10;20;24;1;47.97
0.25;0.01;5;10;5;25;1;-0.16
0.5;10;10;10;10;25;1;22.34
1;5;20;10;20;25;1;4.52
0.75;1;5;10;5;26;1;1.45
0.5;1;10;10;10;26;1;2.93
0;2.5;20;10;20;26;1;20.97
0.5;10;5;10;5;27;1;12.84
0.75;1;10;10;10;27;1;2.25
1;10;20;10;20;27;1;5.44
0.75;2.5;5;10;5;28;1;4
0;5;10;10;10;28;1;18.13
0.75;5;20;10;20;28;1;25.3
1;10;5;10;5;29;1;4.31
0.5;2.5;10;10;10;29;1;7.99
0.75;2.5;20;10;20;29;1;13.08
1;0.01;5;10;5;30;1;0.04
0.75;5;10;10;10;30;1;12.47
0;0.01;20;10;20;30;1;0.04
1;5;5;10;5;31;1;3.34
0.25;1;10;10;10;31;1;3.53
0.25;0.01;20;10;20;31;1;-0.07
0.25;2.5;5;10;5;32;1;4.4
0.25;10;10;10;10;32;1;24.89
1;0.01;20;10;20;32;1;-0.11
1;5;5;10;5;33;1;3.61
0.5;2.5;10;10;10;33;1;9.78
0;5;20;10;20;33;1;36.75
0.25;1;5;10;5;34;1;1.63
1;10;10;10;10;34;1;4.74
0.25;5;20;10;20;34;1;32.25
0;1;5;10;5;35;1;1.9
1;5;10;10;10;35;1;3.84
0.25;1;20;10;20;35;1;7.17
0.25;1;5;10;5;36;1;1.89
1;1;10;10;10;36;1;1.66
0;2.5;20;10;20;36;1;21.6
0.25;5;5;10;5;37;1;9.15
0.5;5;10;10;10;37;1;17.4
0;5;20;10;20;37;1;36.66
0;2.5;5;10;5;38;1;4.81
1;10;10;10;10;38;1;4.74
0.75;2.5;20;10;20;38;1;13.44
0;1;5;10;5;39;1;1.78
0.25;2.5;10;10;10;39;1;10.78
1;0.01;20;10;20;39;1;0.09
0;0.01;5;10;5;40;1;0.05
1;1;10;10;10;40;1;1.83
0.5;1;20;10;20;40;1;6
1;5;5;10;5;41;1;3.3
0;2.5;10;10;10;41;1;11.29
0.75;5;20;10;20;41;1;26.2
0.75;5;5;10;5;42;1;8.44
0.5;2.5;10;10;10;42;1;9.86
0.75;1;20;10;20;42;1;3.67
0.75;0.01;5;10;5;43;1;0.25
0.5;0.01;10;10;10;43;1;-0.2
0.5;10;20;10;20;43;1;47.37
0.75;0.01;5;10;5;44;1;0.02
0.25;5;10;10;10;44;1;16.45
1;5;20;10;20;44;1;4.38
0.5;0.01;5;10;5;45;1;0.00999999999999999
0.5;1;10;10;10;45;1;3.15
0.5;10;20;10;20;45;1;43.7
1;5;5;10;5;46;1;3.6
0.25;2.5;10;10;10;46;1;10.2
0.5;2.5;20;10;20;46;1;18.58
0;0.01;5;10;5;47;1;0.08
0.5;5;10;10;10;47;1;14.98
0.5;5;20;10;20;47;1;32.56
0.25;0.01;5;10;5;48;1;-0.2
0.5;5;10;10;10;48;1;15.54
0.75;1;20;10;20;48;1;4.02
0;1;5;10;5;49;1;2.07
0;1;10;10;10;49;1;3.71
0.5;0.01;20;10;20;49;1;0.12
0.5;0.01;5;10;5;50;1;-0.23
0.5;2.5;10;10;10;50;1;10.17
0;1;20;10;20;50;1;7.32
0.25;2.5;5;10;5;51;1;4.54
0.5;0.01;10;10;10;51;1;0.2
1;0.01;20;10;20;51;1;0.04
0.25;0.01;5;10;5;52;1;0.04
0;10;10;10;10;52;1;27.84
0.5;1;20;10;20;52;1;5.54
1;10;5;10;5;53;1;4.48
0;2.5;10;10;10;53;1;11.42
0.75;0.01;20;10;20;53;1;0.12
0;2.5;5;10;5;54;1;4.84
0;1;10;10;10;54;1;4.12
1;2.5;20;10;20;54;1;3.67
1;10;5;10;5;55;1;4.22
0.25;5;10;10;10;55;1;18.45
